Company,Sector,Continent
NESTLE S.A.,Food industry,Europe
ASSOCIATED BRITISH FOODS PLC,Food industry,Europe
MCCORMICK & CO INC,Food industry,North America
"CONAGRA BRANDS, INC.",Food industry,North America
TESCO PLC,Food industry,Europe
WALMART INC.,Food industry,North America
KROGER CO,Food industry,North America
CHINA RESOURCES BEER (HOLDINGS) COMPANY LIMITED,Food industry,Asia
COSTCO WHOLESALE CORP,Food industry,North America
TARGET CORP,Food industry,North America
CECONOMY AG,Food industry,Europe
KERING,Food industry,Europe
SEARS HOLDINGS CORPORATION,Food industry,North America
MARKS AND SPENCER GROUP PLC,Food industry,Europe
WOOLWORTHS HOLDINGS LIMITED,Food industry,Other
PEPSICO INC,Food industry,North America
HEINEKEN NV,Food industry,Europe
DIAGEO PLC,Food industry,Europe
"COCA-COLA CONSOLIDATED, INC.",Food industry,North America
"MONDELEZ INTERNATIONAL, INC.",Food industry,North America
KELLOGG COMPANY,Food industry,North America
TYSON FOODS INC.,Food industry,North America
CHINA PETROLEUM & CHEMICAL CORPORATION,Mining activities,Asia
BHP GROUP LIMITED,Mining activities,Other
CHINA SHENHUA ENERGY COMPANY LIMITED,Mining activities,Asia
HALLIBURTON CO,Mining activities,North America
OVINTIV CANADA ULC,Mining activities,North America
FUJI OIL CO LTD,Mining activities,Asia
MATRIX SERVICE CO,Mining activities,North America
PGS ASA,Mining activities,Europe
"HELMERICH & PAYNE, INC.",Mining activities,North America
RIO TINTO LIMITED,Mining activities,Other
ANGLO AMERICAN PLC,Mining activities,Europe
ANTOFAGASTA PLC,Mining activities,Europe
NORZINC LTD.,Mining activities,North America
CATERPILLAR INC,Mining activities,North America
DEERE & CO,Mining activities,North America
OCEANEERING INTERNATIONAL INC,Mining activities,North America
OIL STATES INTERNATIONAL INC,Mining activities,North America
YARA INTERNATIONAL ASA,Mining activities,Europe
IMERYS,Mining activities,Europe
THYSSEN SCHACHTBAU GMBH,Mining activities,Europe
ELECTRICITE DE FRANCE,Electricity,Europe
ENEL SPA,Electricity,Europe
KOREA ELECTRIC POWER CORPORATION,Electricity,Asia
E.ON SE,Electricity,Europe
RWE AG,Electricity,Europe
THE KANSAI ELECTRIC POWER COMPANY INCORPORATED,Electricity,Asia
"DOMINION ENERGY, INC.",Electricity,North America
DTE ENERGY CO,Electricity,North America
"CENTERPOINT ENERGY, INC.",Electricity,North America
ENTERGY CORP,Electricity,North America
"WEC ENERGY GROUP, INC.",Electricity,North America
AMEREN CORP,Electricity,North America
VERBUND AG,Electricity,Europe
MVV ENERGIE AG,Electricity,Europe
ENERGIEKONTOR AG,Electricity,Europe
SIEMENS AG,Electricity,Europe
CUMMINS INC.,Electricity,North America
MICROSOFT CORPORATION,Software industry,North America
ADOBE INC,Software industry,North America
INTUIT INC,Software industry,North America
ELECTRONIC ARTS INC,Software industry,North America
SYNOPSYS INC,Software industry,North America
AUTODESK INC,Software industry,North America
TRIMBLE INC.,Software industry,North America
CITRIX SYSTEMS INC,Software industry,North America
NORTONLIFELOCK INC.,Software industry,North America
CADENCE DESIGN SYSTEMS INC,Software industry,North America
ALLSCRIPTS HEALTHCARE SOLUTIONS INC,Software industry,North America
EPLUS INC,Software industry,North America
ANSYS INC,Software industry,North America
NATIONAL INSTRUMENTS CORP,Software industry,North America
MANHATTAN ASSOCIATES INC,Software industry,North America
MICROSTRATEGY INC,Software industry,North America
IMMERSION CORP,Software industry,North America
SOFTBANK GROUP CORP,Software industry,Asia
INTERNATIONAL BUSINESS MACHINES CORP,Software industry,North America
COGNIZANT TECHNOLOGY SOLUTIONS CORP,Software industry,North America
INFOSYS LIMITED,Software industry,Asia
BECHTLE AG,Software industry,Europe
CACI INTERNATIONAL INC,Software industry,North America
NOMURA RESEARCH INSTITUTE LTD,Software industry,Asia
DASSAULT SYSTEMES,Software industry,Europe
AKAMAI TECHNOLOGIES INC,Software industry,North America
"OMNICELL, INC.",Software industry,North America
REALNETWORKS INC,Software industry,North America
SYZYGY AG,Software industry,Europe
SAP SE,Software industry,Europe
ORACLE CORPORATION JAPAN,Software industry,Asia
USU SOFTWARE AG,Software industry,Europe
SOFTING AG,Software industry,Europe
ATOSS SOFTWARE AG,Software industry,Europe
PC CONNECTION INC,Software industry,North America
NINTENDO CO LTD,Software industry,Asia
FISERV INC,Software industry,North America
"ROPER TECHNOLOGIES, INC.",Software industry,North America
AB ELECTROLUX,Electronics industry,Europe
APPLE INC.,Electronics industry,North America
"SAMSUNG ELECTRONICS CO.,LTD.",Electronics industry,Asia
LG ELECTRONICS INC.,Electronics industry,Asia
